Processing time: 0.076096 (ms), GFLOPS: 23.253154 
Processing time: 0.334752 (ms), GFLOPS: 142.719824 
Processing time: 0.992768 (ms), GFLOPS: 245.825680 
Processing time: 2.057408 (ms), GFLOPS: 316.573728 
Processing time: 4.152160 (ms), GFLOPS: 346.481408 
Processing time: 7.931584 (ms), GFLOPS: 324.755680 
Processing time: 13.965408 (ms), GFLOPS: 311.739168 
Processing time: 21.184383 (ms), GFLOPS: 311.044800 
Processing time: 32.358463 (ms), GFLOPS: 301.522464 
Processing time: 45.160480 (ms), GFLOPS: 298.041952 
Processing time: 63.216927 (ms), GFLOPS: 291.320096 
Processing time: 83.659683 (ms), GFLOPS: 286.339872 
Processing time: 110.921089 (ms), GFLOPS: 280.381664 
Processing time: 139.440964 (ms), GFLOPS: 278.565568 
Processing time: 178.387619 (ms), GFLOPS: 272.308352 
Processing time: 221.351013 (ms), GFLOPS: 266.060464 
Processing time: 270.678406 (ms), GFLOPS: 264.568416 
Processing time: 326.881592 (ms), GFLOPS: 259.638416 
Processing time: 394.567841 (ms), GFLOPS: 255.919984 
Processing time: 459.799072 (ms), GFLOPS: 255.646992 
