Processing time: 0.073920 (ms), GFLOPS: 23.937664 
Processing time: 0.263424 (ms), GFLOPS: 181.364432 
Processing time: 0.618720 (ms), GFLOPS: 394.439936 
Processing time: 1.009952 (ms), GFLOPS: 644.903296 
Processing time: 1.486880 (ms), GFLOPS: 967.560448 
Processing time: 2.210688 (ms), GFLOPS: 1165.169792 
Processing time: 3.342688 (ms), GFLOPS: 1302.414336 
Processing time: 4.246944 (ms), GFLOPS: 1551.537408 
Processing time: 5.850880 (ms), GFLOPS: 1667.578752 
Processing time: 7.654272 (ms), GFLOPS: 1758.458240 
Processing time: 9.659840 (ms), GFLOPS: 1906.487296 
Processing time: 11.698080 (ms), GFLOPS: 2047.780736 
Processing time: 14.532736 (ms), GFLOPS: 2140.012800 
Processing time: 16.936256 (ms), GFLOPS: 2293.508608 
Processing time: 23.001184 (ms), GFLOPS: 2111.910272 
Processing time: 27.662304 (ms), GFLOPS: 2128.989568 
Processing time: 32.034271 (ms), GFLOPS: 2235.510784 
Processing time: 37.112415 (ms), GFLOPS: 2286.863360 
Processing time: 44.690079 (ms), GFLOPS: 2259.512576 
Processing time: 50.871071 (ms), GFLOPS: 2310.669824 
