Processing time: 0.080256 (ms), GFLOPS: 22.047846 
Processing time: 0.279520 (ms), GFLOPS: 170.920656 
Processing time: 0.637952 (ms), GFLOPS: 382.548928 
Processing time: 1.015808 (ms), GFLOPS: 641.185472 
Processing time: 1.491936 (ms), GFLOPS: 964.281536 
Processing time: 2.240352 (ms), GFLOPS: 1149.742080 
Processing time: 3.302464 (ms), GFLOPS: 1318.277760 
Processing time: 4.321344 (ms), GFLOPS: 1524.824832 
Processing time: 5.807296 (ms), GFLOPS: 1680.094080 
Processing time: 7.450368 (ms), GFLOPS: 1806.584320 
Processing time: 9.557248 (ms), GFLOPS: 1926.952320 
Processing time: 11.442592 (ms), GFLOPS: 2093.503360 
Processing time: 14.329664 (ms), GFLOPS: 2170.339840 
Processing time: 16.355455 (ms), GFLOPS: 2374.953728 
Processing time: 21.272991 (ms), GFLOPS: 2283.479552 
Processing time: 27.377600 (ms), GFLOPS: 2151.129344 
Processing time: 30.651648 (ms), GFLOPS: 2336.349440 
Processing time: 36.272865 (ms), GFLOPS: 2339.793664 
Processing time: 43.250210 (ms), GFLOPS: 2334.735360 
Processing time: 49.245823 (ms), GFLOPS: 2386.928128 
