Processing time: 5.510880 (ms), GFLOPS: 0.321087 
Processing time: 158.993988 (ms), GFLOPS: 0.300488 
Processing time: 602.026855 (ms), GFLOPS: 0.405377 
Processing time: 1753.631226 (ms), GFLOPS: 0.371413 
Processing time: 5535.194824 (ms), GFLOPS: 0.259909 
Processing time: 10052.622070 (ms), GFLOPS: 0.256234 
Processing time: 11502.816406 (ms), GFLOPS: 0.378478 
Processing time: 16609.525391 (ms), GFLOPS: 0.396718 
Processing time: 26497.916016 (ms), GFLOPS: 0.368210 
Processing time: 43441.671875 (ms), GFLOPS: 0.309834 
Processing time: 55766.546875 (ms), GFLOPS: 0.330240 
Processing time: 72702.070312 (ms), GFLOPS: 0.329497 
Processing time: 133360.500000 (ms), GFLOPS: 0.233204 
Processing time: 159452.937500 (ms), GFLOPS: 0.243604 
Processing time: 144113.187500 (ms), GFLOPS: 0.337071 
Processing time: 181398.343750 (ms), GFLOPS: 0.324660 
Processing time: 307867.812500 (ms), GFLOPS: 0.232609 
Processing time: 352123.906250 (ms), GFLOPS: 0.241026 
Processing time: 312157.125000 (ms), GFLOPS: 0.323484 
Processing time: 433137.750000 (ms), GFLOPS: 0.271383 
