Processing time: 0.076448 (ms), GFLOPS: 23.146086 
Processing time: 0.271936 (ms), GFLOPS: 175.687456 
Processing time: 0.705216 (ms), GFLOPS: 346.061184 
Processing time: 1.221760 (ms), GFLOPS: 533.100864 
Processing time: 2.006240 (ms), GFLOPS: 717.085888 
Processing time: 3.137664 (ms), GFLOPS: 820.937792 
Processing time: 4.992768 (ms), GFLOPS: 871.974208 
Processing time: 6.701056 (ms), GFLOPS: 983.321536 
Processing time: 9.469312 (ms), GFLOPS: 1030.360320 
Processing time: 12.538304 (ms), GFLOPS: 1073.487936 
Processing time: 16.249249 (ms), GFLOPS: 1133.366912 
Processing time: 21.190208 (ms), GFLOPS: 1130.479872 
Processing time: 26.915615 (ms), GFLOPS: 1155.472000 
Processing time: 32.379646 (ms), GFLOPS: 1199.625472 
Processing time: 38.828159 (ms), GFLOPS: 1251.062144 
Processing time: 47.007168 (ms), GFLOPS: 1252.846208 
Processing time: 56.485634 (ms), GFLOPS: 1267.808384 
Processing time: 67.575005 (ms), GFLOPS: 1255.952896 
Processing time: 79.531235 (ms), GFLOPS: 1269.662080 
Processing time: 87.719330 (ms), GFLOPS: 1340.026752 
