Processing time: 0.091104 (ms), GFLOPS: 19.422550 
Processing time: 0.297504 (ms), GFLOPS: 160.588576 
Processing time: 0.856224 (ms), GFLOPS: 285.028064 
Processing time: 1.675168 (ms), GFLOPS: 388.809568 
Processing time: 2.910688 (ms), GFLOPS: 494.263328 
Processing time: 4.704960 (ms), GFLOPS: 547.470528 
Processing time: 7.525440 (ms), GFLOPS: 578.512960 
Processing time: 10.731520 (ms), GFLOPS: 614.012992 
Processing time: 15.357408 (ms), GFLOPS: 635.315776 
Processing time: 20.422367 (ms), GFLOPS: 659.067456 
Processing time: 27.315872 (ms), GFLOPS: 674.200000 
Processing time: 34.908607 (ms), GFLOPS: 686.223424 
Processing time: 44.320450 (ms), GFLOPS: 701.713088 
Processing time: 54.679264 (ms), GFLOPS: 710.387200 
Processing time: 67.355042 (ms), GFLOPS: 721.199744 
Processing time: 80.612740 (ms), GFLOPS: 730.563840 
Processing time: 96.444832 (ms), GFLOPS: 742.527680 
Processing time: 113.346336 (ms), GFLOPS: 748.776064 
Processing time: 133.709625 (ms), GFLOPS: 755.202112 
Processing time: 155.695847 (ms), GFLOPS: 754.973568 
