Processing time: 0.064544 (ms), GFLOPS: 27.414972 
Processing time: 0.268608 (ms), GFLOPS: 177.864192 
Processing time: 0.683584 (ms), GFLOPS: 357.012288 
Processing time: 1.245952 (ms), GFLOPS: 522.749952 
Processing time: 1.919648 (ms), GFLOPS: 749.432320 
Processing time: 3.003360 (ms), GFLOPS: 857.648384 
Processing time: 4.674656 (ms), GFLOPS: 931.312320 
Processing time: 6.171968 (ms), GFLOPS: 1067.616128 
Processing time: 8.747072 (ms), GFLOPS: 1115.436416 
Processing time: 11.452032 (ms), GFLOPS: 1175.312640 
Processing time: 15.081216 (ms), GFLOPS: 1221.145728 
Processing time: 19.261791 (ms), GFLOPS: 1243.659136 
Processing time: 24.152449 (ms), GFLOPS: 1287.664000 
Processing time: 29.077791 (ms), GFLOPS: 1335.845888 
Processing time: 35.679359 (ms), GFLOPS: 1361.471744 
Processing time: 42.965343 (ms), GFLOPS: 1370.703744 
Processing time: 50.099617 (ms), GFLOPS: 1429.411200 
Processing time: 59.461887 (ms), GFLOPS: 1427.318016 
Processing time: 69.165245 (ms), GFLOPS: 1459.949952 
Processing time: 77.747200 (ms), GFLOPS: 1511.903232 
