Processing time: 0.080000 (ms), GFLOPS: 22.118400 
Processing time: 0.272320 (ms), GFLOPS: 175.439712 
Processing time: 0.616800 (ms), GFLOPS: 395.667744 
Processing time: 0.988704 (ms), GFLOPS: 658.762688 
Processing time: 1.484448 (ms), GFLOPS: 969.145664 
Processing time: 2.215808 (ms), GFLOPS: 1162.477568 
Processing time: 3.250944 (ms), GFLOPS: 1339.169408 
Processing time: 4.235616 (ms), GFLOPS: 1555.686912 
Processing time: 5.759456 (ms), GFLOPS: 1694.049408 
Processing time: 7.486880 (ms), GFLOPS: 1797.774080 
Processing time: 9.507520 (ms), GFLOPS: 1937.031168 
Processing time: 11.353632 (ms), GFLOPS: 2109.906688 
Processing time: 14.285472 (ms), GFLOPS: 2177.053696 
Processing time: 16.489664 (ms), GFLOPS: 2355.623936 
Processing time: 21.160704 (ms), GFLOPS: 2295.596544 
Processing time: 27.107168 (ms), GFLOPS: 2172.589824 
Processing time: 30.987616 (ms), GFLOPS: 2311.018496 
Processing time: 36.820576 (ms), GFLOPS: 2304.988928 
Processing time: 43.761600 (ms), GFLOPS: 2307.452160 
Processing time: 50.084671 (ms), GFLOPS: 2346.950656 
