#mpiTasks=1 mpiRank=0, n=100000000, range=100000000, StartLocal=0, HostLocal=wn20
#ID 0 terminated - piLocal = 3.1415926936  0.121353
#Funct	Inter	pi	error	time	numtasks	hostname
1	100000000	3.1415926936	4.0000423418e-08	0.1214	1	# wn20 
#mpiTasks=2 mpiRank=1, n=100000000, range=50000000, StartLocal=50000000, HostLocal=wn20
#mpiTasks=2 mpiRank=0, n=100000000, range=50000000, StartLocal=0, HostLocal=wn20
#ID 1 terminated - piLocal = 1.2870022496  0.060641
#ID 0 terminated - piLocal = 1.8545904760  0.060583
#Funct	Inter	pi	error	time	numtasks	hostname
1	100000000	3.1415927256	7.2000100104e-08	0.0606	2	# wn20 
#mpiTasks=4 mpiRank=3, n=100000000, range=25000000, StartLocal=75000000, HostLocal=wn20
#mpiTasks=4 mpiRank=2, n=100000000, range=25000000, StartLocal=50000000, HostLocal=wn20
#mpiTasks=4 mpiRank=0, n=100000000, range=25000000, StartLocal=0, HostLocal=wn20
#mpiTasks=4 mpiRank=1, n=100000000, range=25000000, StartLocal=25000000, HostLocal=wn20
#ID 3 terminated - piLocal = 0.5675882440  0.030405
#ID 2 terminated - piLocal = 0.7194140312  0.030424
#ID 0 terminated - piLocal = 0.9799146925  0.031060
#ID 1 terminated - piLocal = 0.8746758211  0.031069
#Funct	Inter	pi	error	time	numtasks	hostname
1	100000000	3.1415927888	1.3524706999e-07	0.0311	4	# wn20 
#mpiTasks=8 mpiRank=6, n=100000000, range=12500000, StartLocal=75000000, HostLocal=wn20
#mpiTasks=8 mpiRank=0, n=100000000, range=12500000, StartLocal=0, HostLocal=wn20
#mpiTasks=8 mpiRank=1, n=100000000, range=12500000, StartLocal=12500000, HostLocal=wn20
#mpiTasks=8 mpiRank=7, n=100000000, range=12500000, StartLocal=87500000, HostLocal=wn20
#mpiTasks=8 mpiRank=2, n=100000000, range=12500000, StartLocal=25000000, HostLocal=wn20
#mpiTasks=8 mpiRank=3, n=100000000, range=12500000, StartLocal=37500000, HostLocal=wn20
#mpiTasks=8 mpiRank=4, n=100000000, range=12500000, StartLocal=50000000, HostLocal=wn20
#mpiTasks=8 mpiRank=5, n=100000000, range=12500000, StartLocal=62500000, HostLocal=wn20
#ID 6 terminated - piLocal = 0.3013155889  0.015368
#ID 7 terminated - piLocal = 0.2662726778  0.015370
#ID 0 terminated - piLocal = 0.4974200182  0.016215
#ID 1 terminated - piLocal = 0.4824947137  0.016181
#ID 3 terminated - piLocal = 0.4195077900  0.016016
